stage
-1
ストーリー1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,3,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,1,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1,1,0,3,0,0,0,0,0,0,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,0,0,3,0,1,1,1,1,0,0,1,1,1,1,1,1,1
1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,1,1,1
1,1,1,1,1,0,4,0,0,4,0,0,0,0,4,0,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,3,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,11,12,0,0,0,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
